fragment,scroll,feature,pixel_auc,polarity,feature_type
frag1,Paris 2,raw_intensity_layer59,0.7452,+,2D_baseline
frag1,Paris 2,depth_gradient_mag,0.8113,+,3D_depth
frag1,Paris 2,max_depth_gradient,0.8081,+,3D_depth
frag1,Paris 2,depth_variance,0.7952,+,3D_depth
frag1,Paris 2,depth_range,0.7999,+,3D_depth
frag1,Paris 2,intensity_centroid,0.7229,+,3D_depth
frag1,Paris 2,peak_depth_layer,0.7282,+,3D_depth
frag1,Paris 2,depth_skewness,0.5106,-,3D_depth
frag1,Paris 2,depth_kurtosis,0.5108,+,3D_depth
frag1,Paris 2,top_bottom_ratio,0.7696,+,3D_depth
frag1,Paris 2,adj_layer_corr,0.7039,+,3D_depth
frag2,Paris 2,raw_intensity_layer64,0.6724,+,2D_baseline
frag2,Paris 2,depth_gradient_mag,0.7118,+,3D_depth
frag2,Paris 2,max_depth_gradient,0.7159,+,3D_depth
frag2,Paris 2,depth_variance,0.7067,+,3D_depth
frag2,Paris 2,depth_range,0.7104,+,3D_depth
frag2,Paris 2,intensity_centroid,0.6621,+,3D_depth
frag2,Paris 2,peak_depth_layer,0.6669,+,3D_depth
frag2,Paris 2,depth_skewness,0.5234,+,3D_depth
frag2,Paris 2,depth_kurtosis,0.5308,+,3D_depth
frag2,Paris 2,top_bottom_ratio,0.6813,+,3D_depth
frag2,Paris 2,adj_layer_corr,0.6873,+,3D_depth
frag3,Paris 1,raw_intensity_layer49,0.7087,+,2D_baseline
frag3,Paris 1,depth_gradient_mag,0.7423,+,3D_depth
frag3,Paris 1,max_depth_gradient,0.7407,+,3D_depth
frag3,Paris 1,depth_variance,0.7355,+,3D_depth
frag3,Paris 1,depth_range,0.7374,+,3D_depth
frag3,Paris 1,intensity_centroid,0.6905,+,3D_depth
frag3,Paris 1,peak_depth_layer,0.698,+,3D_depth
frag3,Paris 1,depth_skewness,0.5195,+,3D_depth
frag3,Paris 1,depth_kurtosis,0.5236,+,3D_depth
frag3,Paris 1,top_bottom_ratio,0.72,+,3D_depth
frag3,Paris 1,adj_layer_corr,0.6859,+,3D_depth
