block_size,feature,n_features,primary_metric,within_bal_acc,cross_bal_acc,bal_acc_gap,cross_scroll_bal_acc,within_auc,cross_auc,auc_gap,cross_scroll_auc
16,depth_gradient_mag,1,balanced_accuracy,0.5009,0.5002,0.0007,0.5004,0.5995,0.5995,0.0,0.5939
16,max_depth_gradient,1,balanced_accuracy,0.5008,0.5008,-0.0,0.5012,0.6036,0.6036,0.0,0.5962
16,depth_variance,1,balanced_accuracy,0.5004,0.5001,0.0002,0.5,0.5829,0.5829,-0.0,0.5788
16,depth_range,1,balanced_accuracy,0.5002,0.5,0.0002,0.5,0.593,0.593,0.0,0.5876
16,intensity_centroid,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.4688,0.4688,0.0,0.4722
16,peak_depth_layer,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5126,0.4946,0.018,0.4865
16,depth_skewness,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5355,0.493,0.0424,0.5065
16,depth_kurtosis,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5273,0.505,0.0223,0.5187
16,top_bottom_ratio,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.4891,0.4814,0.0077,0.49
16,adj_layer_corr,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5371,0.4919,0.0452,0.5109
16,raw_intensity,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5143,0.5143,-0.0,0.5177
16,gradient_magnitude,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.4858,0.4858,0.0,0.4854
16,st_coherence,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5157,0.4882,0.0275,0.4915
16,ALL_DEPTH,10,balanced_accuracy,0.5015,0.5008,0.0007,0.5013,0.6141,0.5723,0.0418,0.5791
16,ALL_2D,3,balanced_accuracy,0.5,0.5,0.0,0.5,0.5242,0.5057,0.0185,0.507
16,ALL_COMBINED,13,balanced_accuracy,0.5022,0.5009,0.0013,0.5014,0.6187,0.5718,0.047,0.5772
32,depth_gradient_mag,1,balanced_accuracy,0.5012,0.5005,0.0007,0.5008,0.6098,0.6098,0.0,0.604
32,max_depth_gradient,1,balanced_accuracy,0.5009,0.5014,-0.0004,0.5022,0.6148,0.6148,0.0,0.6067
32,depth_variance,1,balanced_accuracy,0.5004,0.5001,0.0003,0.5001,0.5932,0.5932,0.0,0.5884
32,depth_range,1,balanced_accuracy,0.5004,0.5,0.0004,0.5,0.605,0.605,0.0,0.5992
32,intensity_centroid,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.474,0.474,0.0,0.4785
32,peak_depth_layer,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5124,0.4917,0.0207,0.4845
32,depth_skewness,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5451,0.4882,0.057,0.5046
32,depth_kurtosis,1,balanced_accuracy,0.5,0.4999,0.0,0.4999,0.5312,0.5032,0.028,0.5189
32,top_bottom_ratio,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.4856,0.4785,0.0072,0.488
32,adj_layer_corr,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5278,0.4778,0.05,0.491
32,raw_intensity,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5241,0.5241,0.0,0.5285
32,gradient_magnitude,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.4925,0.4925,-0.0,0.4929
32,st_coherence,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5195,0.5195,0.0,0.5136
32,ALL_DEPTH,10,balanced_accuracy,0.5028,0.5014,0.0014,0.5022,0.6267,0.5724,0.0543,0.58
32,ALL_2D,3,balanced_accuracy,0.5,0.5,0.0,0.5,0.5385,0.5177,0.0208,0.5185
32,ALL_COMBINED,13,balanced_accuracy,0.5043,0.5016,0.0026,0.5025,0.6342,0.5735,0.0607,0.5783
64,depth_gradient_mag,1,balanced_accuracy,0.5007,0.5004,0.0003,0.5008,0.6192,0.6192,0.0,0.6124
64,max_depth_gradient,1,balanced_accuracy,0.5006,0.5015,-0.0009,0.5026,0.624,0.624,0.0,0.6146
64,depth_variance,1,balanced_accuracy,0.5007,0.5001,0.0007,0.5001,0.6041,0.6041,0.0,0.5981
64,depth_range,1,balanced_accuracy,0.5007,0.4998,0.0009,0.4999,0.6162,0.6162,0.0,0.6092
64,intensity_centroid,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.4863,0.4863,0.0,0.4918
64,peak_depth_layer,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5151,0.4888,0.0263,0.4803
64,depth_skewness,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5529,0.4782,0.0747,0.4977
64,depth_kurtosis,1,balanced_accuracy,0.5,0.4996,0.0004,0.4996,0.5366,0.4992,0.0374,0.5169
64,top_bottom_ratio,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.4839,0.4792,0.0047,0.4904
64,adj_layer_corr,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5008,0.5008,0.0,0.5024
64,raw_intensity,1,balanced_accuracy,0.5,0.5003,-0.0003,0.5005,0.5453,0.5453,0.0,0.553
64,gradient_magnitude,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5007,0.5007,0.0,0.5008
64,st_coherence,1,balanced_accuracy,0.5,0.5,0.0,0.5,0.5442,0.5442,0.0,0.5384
64,ALL_DEPTH,10,balanced_accuracy,0.5033,0.5021,0.0012,0.5034,0.6348,0.5634,0.0713,0.5694
64,ALL_2D,3,balanced_accuracy,0.5,0.5,0.0,0.5,0.5651,0.5491,0.016,0.5491
64,ALL_COMBINED,13,balanced_accuracy,0.5058,0.5024,0.0033,0.5037,0.6477,0.5699,0.0777,0.5726
